1	genericres01	Super Cheat             	SuperCheat                                                                                                                                                                                              	TestOnly                                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	56	120		icontech    	1	0	940
5000	acs39       	Med Shield 2            	Develops an improved version of the Medium Shield 1 which can absorb more damage.                                                                                                                       	HasStarbase1 NotArena                                                                                                                                                                                                                                           	ResearchedMdShield2                                                                                                                                                                                                                                             	109	120		icontech    	1	412	944
5000	acs39       	Med Shield 3            	Develops an improved version of the Medium Shield 2 which can absorb more damage.                                                                                                                       	HasStarbase2 ResearchedMdShield2 NotArena                                                                                                                                                                                                                       	ResearchedMdShield3                                                                                                                                                                                                                                             	108	120		icontech    	1	411	944
5000	acs34       	Large Shield 3          	Develops an improved version of the Large Shield 2 which can absorb more damage.                                                                                                                        	HasShipyard2 ResearchedLgShield2 NotArena IsNotCivCrimsonWing                                                                                                                                                                                                   	ResearchedLgShield3                                                                                                                                                                                                                                             	110	120		icontech    	5	421	944
5000	wep02       	PW Turret AC 3          	An Advanced particle-based turret weapon for use on Bombers and Stealth Bombers.                                                                                                                        	HasOrdnance2 ResearchedTurret2 NotArena                                                                                                                                                                                                                         	ResearchedTurret3                                                                                                                                                                                                                                               	80	120		icontech    	2	161	942
5000	acs41       	Prox Mine 2             	Develops a more powerful version of the Prox Mine 1.                                                                                                                                                    	HasResearch1 NotArena                                                                                                                                                                                                                                           	ResearchedMine2                                                                                                                                                                                                                                                 	127	120		icontech    	4	802	944
5000	acs41       	Prox Mine 3             	Develops a more powerful version of the Prox Mine 2.                                                                                                                                                    	HasResearch2 ResearchedMine2 NotArena                                                                                                                                                                                                                           	ResearchedMine3                                                                                                                                                                                                                                                 	126	120		icontech    	4	801	944
5000	utl23       	EWS Probe 2             	Develops a more stealthy version of the EWS Probe 1 that also has a slightly larger scan range.                                                                                                         	HasOrdnance1 NotArena                                                                                                                                                                                                                                           	ResearchedProbe2                                                                                                                                                                                                                                                	123	120		icontech    	2	702	944
5000	utl23       	EWS Probe 3             	Develops a more stealthy version of the EWS Probe 2 that also has a slightly larger scan range.                                                                                                         	HasOrdnance2 ResearchedProbe2 NotArena                                                                                                                                                                                                                          	ResearchedProbe3                                                                                                                                                                                                                                                	122	120		icontech    	2	701	944
5000	utl23       	Pulse Probe             	Develops a short lived probe that has an excellent scan range.                                                                                                                                          	HasResearch1 NotArena                                                                                                                                                                                                                                           	ResearchedPulseProbe                                                                                                                                                                                                                                            	124	120		icontech    	4	710	944
5000	acs41       	Mine Pack 1             	Develops a compact and deadly minefield that, when deployed correctly, is very effective against chasing opponents.                                                                                     	HasOrdnance1 NotArena                                                                                                                                                                                                                                           	ResearchedMinePack1                                                                                                                                                                                                                                             	129	120		icontech    	2	812	944
5000	acs41       	Mine Pack 2             	Develops an improved version of the Mine Pack 1.                                                                                                                                                        	HasOrdnance2 ResearchedMinePack1 NotArena                                                                                                                                                                                                                       	ResearchedMinePack2                                                                                                                                                                                                                                             	128	120		icontech    	2	811	944
5000	mis14       	SRM Seismic Missile     	Develops a short-range asteroid-destroying missile that does incredible damage to rocks of all types.                                                                                                   	HasElectronics2 NotArena IsNotCivRix                                                                                                                                                                                                                            	ResearchedMissileAntiRock1                                                                                                                                                                                                                                      	97	120		icontech    	3	238	943
5000	mis09       	LRM Killer 1            	Develops a powerful, anti-capital ship missile.                                                                                                                                                         	HasElectronics1 NotArena IsNotCivRix                                                                                                                                                                                                                            	ResearchedMissileKiller1                                                                                                                                                                                                                                        	95	120		icontech    	3	232	943
5000	mis09       	LRM Killer 2            	Develops a more poerful version of the LRM Killer 1.                                                                                                                                                    	HasElectronics2 NotArena ResearchedMissileKiller1 IsNotCivRix                                                                                                                                                                                                   	ResearchedMissileKiller2                                                                                                                                                                                                                                        	94	120		icontech    	3	231	943
5000	mis07       	LRM Hunter 3            	Develops a more powerful version of the LRM Hunter 2.                                                                                                                                                   	HasElectronics2 NotArena ResearchedMissileMedium2 IsNotCivRix                                                                                                                                                                                                   	ResearchedMissileMedium3                                                                                                                                                                                                                                        	92	120		icontech    	3	221	943
5000	acs38       	Signature Cloak 3       	Develops an improved version of the Signature Cloak 2.                                                                                                                                                  	HasElectronics2 ResearchedCloak2 NotArena                                                                                                                                                                                                                       	ResearchedCloak3                                                                                                                                                                                                                                                	117	120		icontech    	3	601	944
5000	mis08       	XRM Hunter Killer 3     	Develops the Advanced long-range anti-fighter missile with great tracking ability, optimized for killing fighter-class ships.                                                                           	HasShipyard2 NotArena ResearchedMissileCapAntiFighter2 IsNotCivRix IsNotCivCrimsonWing                                                                                                                                                                          	ResearchedMissileCapAntiFighter3                                                                                                                                                                                                                                	99	120		icontech    	5	301	943
2500	wep12       	PW SkyCap Turret 1      	An enhanced particle-based turret weapon for use on capital-class ships and gunships. Does area damage.                                                                                                 	HasStarbase1 NotArena                                                                                                                                                                                                                                           	ResearchedCapTurret1                                                                                                                                                                                                                                            	84	120		icontech    	1	173	942
2500	wep07       	EW Disruptor 1          	Develops the Fighter-mounted enhanced energy weapon, optimized for inflicting shield damage.                                                                                                            	HasStarbase1 NotArena                                                                                                                                                                                                                                           	ResearchedDisruptor1                                                                                                                                                                                                                                            	75	120		icontech    	1	133	942
5000	mis13       	SRM Tactical Nuke 1     	Develops an enhanced short-range anti-base missile that packs incredible punch but has almost no tracking ability.                                                                                      	HasShipyard1 NotArena IsNotCivRix                                                                                                                                                                                                                               	ResearchedMissileCapAntiBase1                                                                                                                                                                                                                                   	102	120		icontech    	5	312	943
5000	fig12       	Patroller               	Can deploy, mines, probes, is fast has a good scan range.                                                                                                                                               	HasStarbase1 NotArena IsCivCrimsonWing                                                                                                                                                                                                                          	ResearchedFighter1                                                                                                                                                                                                                                              	22	120		icontech    	1	14	941
5000	mis03       	LRM Killer Swarm 1      	Develops a specialized missile swarm for maximum damage to capital ships.                                                                                                                               	HasShipyard1 NotArena IsNotCivRix                                                                                                                                                                                                                               	ResearchedMirv1                                                                                                                                                                                                                                                 	177	120		icontech    	5	252	943
5000	mis03       	LRM Killer Swarm 2      	Develops a more powerful version of the LRM Killer Swarm 1.                                                                                                                                             	HasShipyard2 NotArena ResearchedMirv1 IsNotCivRix IsNotCivCrimsonWing                                                                                                                                                                                           	ResearchedMirv2                                                                                                                                                                                                                                                 	176	120		icontech    	5	251	943
2500	acs40       	Hvy Counter 1           	Develops missile counter-measures for capital ships that can be up to 75% effective.                                                                                                                    	HasStarbase1 NotArena                                                                                                                                                                                                                                           	ResearchedCapChaff1                                                                                                                                                                                                                                             	134	120		icontech    	1	913	944
2500	acs48       	Booster 1               	Develops a fuel based booster rocket, poor endurance but can provide a significant increase in speed.                                                                                                   	HasStarbase1 NotArena                                                                                                                                                                                                                                           	ResearchedBooster1                                                                                                                                                                                                                                              	114	120		icontech    	1	503	944
30000	ss104       	Upgrade Expansion       	This upgrade toughens the Expansion Complex and provides more research technologies, especially for Interceptors and Troop Transports.                                                                  	HasResearch1 NotArena IsCivIronLeague                                                                                                                                                                                                                           	ResearchedResearch2                                                                                                                                                                                                                                             	6	120		icontech    	4	0	945
12000	ss24a       	Upgrade Garrison        	This upgrade toughens the Garrison and makes available several key ship upgrades.                                                                                                                       	HasStarbase1 NotArena IsCivIronLeague                                                                                                                                                                                                                           	ResearchedStarbase2                                                                                                                                                                                                                                             	7	120		icontech    	1	0	945
30000	ss18        	Upgrade Shipyard        	This upgrade toughens the Shipyard and gives teams more research options for capital ships.                                                                                                             	HasShipyard1 NotArena HasLevel1 IsCivIronLeague                                                                                                                                                                                                                 	ResearchedShipyard2                                                                                                                                                                                                                                             	8	120		icontech    	5	0	945
30000	ss103       	Upgrade Supremacy       	This upgrade toughens the Supremacy Center and gives players more research options, especially for Fighter-class ships.                                                                                 	HasOrdnance1 NotArena IsCivIronLeague                                                                                                                                                                                                                           	ResearchedOrdnance2                                                                                                                                                                                                                                             	9	120		icontech    	2	0	945
30000	acs08       	Upgrade Tactical Lab    	This upgrade toughens the Tactical Laboratory and gives teams more research options, especially for Stealth Fighter craft.                                                                              	HasElectronics1 NotArena IsCivIronLeague                                                                                                                                                                                                                        	ResearchedElectronics2                                                                                                                                                                                                                                          	10	120		icontech    	3	0	945
15000	cap03       	Cruiser                 	Capable of carrying several turret gunners for defense, this capital ship can fire the largest and most deadly tactical nuke missiles, swiftly devastating enemy stations.                              	HasShipyard2 NotArena ResearchedCapital1 IsNotCivCrimsonWing IsNotCivBios IsNotCivBelters                                                                                                                                                                       	ResearchedCapital2                                                                                                                                                                                                                                              	46	120		icontech    	5	81	941
15000	cap100      	Devastator              	Capable of carrying several turret gunners for defense, this capital ship carries the Skyripper cannon.                                                                                                 	HasShipyard2 NotArena IsNotCivRix IsNotCivBelters IsNotCivCrimsonWing                                                                                                                                                                                           	ResearchedArtillery2                                                                                                                                                                                                                                            	50	120		icontech    	5	83	941
15000	cap100      	Devastator              	Capable of carrying several turret gunners for defense, this capital ship carries the Skyripper cannon.                                                                                                 	HasShipyard1 NotArena IsCivCrimsonWing                                                                                                                                                                                                                          	ResearchedArtillery2                                                                                                                                                                                                                                            	175	120		icontech    	5	83	941
22500	cap01       	Light Cruiser           	Capable of carrying several turret gunners for defense, this capital ship can fire the largest and most deadly tactical nuke missiles, swiftly devastating enemy stations.                              	HasShipyard1 NotArena IsCivCrimsonWing                                                                                                                                                                                                                          	ResearchedCapital1                                                                                                                                                                                                                                              	52	120		icontech    	5	85	941
10000	utl18a      	Assault ship            	This ships major strength is its ability to act as a mobile teleport receiver.                                                                                                                          	HasShipyard2 NotArena IsNotCivBelters IsNotCivCrimsonWing                                                                                                                                                                                                       	ResearchedSectorSupport                                                                                                                                                                                                                                         	53	120		icontech    	5	86	941
5000	acs30       	Small Shield 2          	Develops an improved version of the Small Shield 1 which can absorb more damage.                                                                                                                        	HasStarbase1 NotArena IsNotCivBelters                                                                                                                                                                                                                           	ResearchedSmShield2                                                                                                                                                                                                                                             	107	120		icontech    	1	402	944
5000	acs30       	Small Shield 3          	Develops an improved version of the Small Shield 2 which can absorb more damage.                                                                                                                        	HasStarbase2 ResearchedSmShield2 NotArena IsNotCivBelters                                                                                                                                                                                                       	ResearchedSmShield3                                                                                                                                                                                                                                             	106	120		icontech    	1	401	944
3750	fig16       	Interceptor             	This fast, short-range vessel is the most deadly of all fighters but hampered by its low fuel capacity, poor scan range, lack of shielding, and incompatibility with teleportation systems.             	HasResearch1 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedDefender1                                                                                                                                                                                                                                             	32	120		icontech    	4	33	941
5000	bom07b      	Heavy Bomber            	This large, lumbering craft is designed for base assault. It is less vulnerable to enemies but still requires turret support to be effective.                                                           	HasStarbase2 ResearchedBomber1 NotArena IsCivBelters                                                                                                                                                                                                            	ResearchedBomber2                                                                                                                                                                                                                                               	36	120		icontech    	1	50	941
3750	fig17       	Stealth Fighter         	This more lightly armored combat craft is ideal for hit-and-run attacks. It has a low sensor signature, the ability to cloak, and very high-end scanners.                                               	HasElectronics1 NotArena IsCivBelters                                                                                                                                                                                                                           	ResearchedStealth1                                                                                                                                                                                                                                              	27	120		icontech    	3	23	941
3750	fig12       	Enhanced Fighter        	Typically deployed for prolonged combat situations that require quick response and good range, this fighter has 3 weapon mounts, hardpoints for missiles, and an average scan range.                    	HasOrdnance1 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedFighter2                                                                                                                                                                                                                                              	21	120		icontech    	2	13	941
3750	fig05       	Advanced Scout          	This small and agile craft is packed with scanner suites. It can deploy minefields and probes, and has 1 weapon mount for machine guns or repair weapons.                                               	HasStarbase2 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedSupport2                                                                                                                                                                                                                                              	16	120		icontech    	1	2	941
3750	utl27       	Troop Transport         	This transport carries specially trained troops capable of taking over enemy facilities. This version requires station shields to be neutralized before it can land and take over bases.                	HasResearch1 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedAPC1                                                                                                                                                                                                                                                  	44	120		icontech    	4	71	941
5000	bom07b      	Bomber                  	This large, lumbering craft is designed for base assault. It is vulnerable to enemies and requires turret support to be effective.                                                                      	HasStarbase1 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedBomber1                                                                                                                                                                                                                                               	38	120		icontech    	1	51	941
3750	utl101      	Advanced Miner          	Develops a faster, more stealthy, and tougher miner.                                                                                                                                                    	HasResearch2 ResearchedMiner2 NotArena IsCivBelters                                                                                                                                                                                                             	ResearchedMiner3                                                                                                                                                                                                                                                	63	120		icontech    	4	96	940
3750	utl11       	Adv Constructor         	Develops a faster, more stealthy, and tougher constructor.                                                                                                                                              	HasResearch2 ResearchedBuilder2 NotArena IsCivBelters                                                                                                                                                                                                           	ResearchedBuilder3                                                                                                                                                                                                                                              	60	120		icontech    	4	91	940
3750	fig17       	Stealth Bomber          	This cloakable Bomber with the tenacity of the Stealth Fighter has outstanding anti-base missile capability.                                                                                            	HasElectronics2 ResearchedBomber1 ResearchedStealth1 NotArena IsCivBelters                                                                                                                                                                                      	ResearchedStealthBomber1                                                                                                                                                                                                                                        	34	120		icontech    	3	40	941
4000	cap100      	Destroyer               	This large, mainly defensive capitol ship can fire very long range missiles at Fighter class craft. It has no turrets but has Ripcord ability.                                                          	HasShipyard1 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedArtillery1                                                                                                                                                                                                                                            	49	120		icontech    	5	82	941
5000	fig17       	Adv Stealth Ftr         	This more lightly armored combat craft is ideal for hit-and-run attacks. It has a low sensor signature, the ability to cloak, and very high-end scanners.                                               	HasElectronics2 ResearchedStealth1 NotArena IsCivBelters                                                                                                                                                                                                        	ResearchedStealth2                                                                                                                                                                                                                                              	25	120		icontech    	3	22	941
5000	cap01       	Missile Frigate         	This capital-scale craft is capable of carrying a great deal of missile ordnance to supplement multiple gun turrets. It is essentially a tougher version of the Bomber, best used to attack bases.      	HasShipyard1 IsCivBelters                                                                                                                                                                                                                                       	ResearchedCapital1                                                                                                                                                                                                                                              	54	120		icontech    	5	84	941
5000	fig16       	Heavy Interceptor       	This fast, short-range vessel is the most deadly of all fighters but hampered by its low fuel capacity, poor scan range, lack of shielding, and incompatibility with teleportation systems.             	HasResearch2 ResearchedDefender1 NotArena IsCivBelters                                                                                                                                                                                                          	ResearchedDefender2                                                                                                                                                                                                                                             	30	120		icontech    	4	32	941
5000	fig12       	Adv Fighter             	Typically deployed for prolonged combat situations that require quick response and good range, this advanced version can carry special weapons for base attacks.                                        	HasOrdnance2 ResearchedFighter2 NotArena IsCivBelters                                                                                                                                                                                                           	ResearchedFighter3                                                                                                                                                                                                                                              	19	120		icontech    	2	12	941
5000	utl27       	Hvy Troop Transport     	This transport carries specially trained troops capable of taking over enemy facilities. This heavy version will neutralize station shields on contact before landing and taking over bases.            	HasResearch2 ResearchedAPC1 NotArena IsCivBelters                                                                                                                                                                                                               	ResearchedAPC2                                                                                                                                                                                                                                                  	42	120		icontech    	4	70	941
5000	bom05b      	Gunship                 	This ship's key features are 2 heavy turret positions, with excellent cover for defending stationary and moving targets. It's fast enough to escort constructors, capital ships, and miners.            	HasStarbase2 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedPlatform1                                                                                                                                                                                                                                             	40	120		icontech    	1	60	941
5000	cap03       	Cruiser                 	Capable of carrying several turret gunners for defense, this capital ship can fire the largest and most deadly tactical nuke missiles, swiftly devastating enemy stations.                              	HasShipyard2 NotArena ResearchedCapital1 IsCivBelters                                                                                                                                                                                                           	ResearchedCapital2                                                                                                                                                                                                                                              	47	120		icontech    	5	81	941
5000	utl18a      	Assault ship            	This ships major strength is its ability to act as a mobile teleport receiver.                                                                                                                          	HasShipyard2 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedSectorSupport                                                                                                                                                                                                                                         	55	120		icontech    	5	86	941
2500	utl11       	Enh Constructor         	Develops a faster, more stealthy, and tougher constructor.                                                                                                                                              	HasStarbase1 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedBuilder2                                                                                                                                                                                                                                              	61	120		icontech    	1	91	940
2500	utl101      	Enhanced Miner          	Develops a faster, more stealthy, and tougher miner.                                                                                                                                                    	HasStarbase1 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedMiner2                                                                                                                                                                                                                                                	65	120		icontech    	1	97	940
16000	ss103       	Upgrade Supremacy       	This upgrade toughens the Supremacy Center and gives players more research options, especially for Fighter-class ships.                                                                                 	HasOrdnance1 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedOrdnance2                                                                                                                                                                                                                                             	11	120		icontech    	2	0	945
16000	acs08       	Upgrade Tactical Lab    	This upgrade toughens the Tactical Laboratory and gives teams more research options, especially for Stealth Fighter craft.                                                                              	HasElectronics1 NotArena IsCivBelters                                                                                                                                                                                                                           	ResearchedElectronics2                                                                                                                                                                                                                                          	12	120		icontech    	3	0	945
16000	ss18        	Upgrade Shipyard        	This upgrade toughens the Shipyard and gives teams more research options for capital ships.                                                                                                             	HasShipyard1 NotArena HasLevel2 IsCivBelters                                                                                                                                                                                                                    	ResearchedShipyard2                                                                                                                                                                                                                                             	13	120		icontech    	5	0	945
16000	ss104       	Upgrade Expansion       	This upgrade toughens the Expansion Complex and provides more research technologies, especially for Interceptors and Troop Transports.                                                                  	HasResearch1 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedResearch2                                                                                                                                                                                                                                             	14	120		icontech    	4	0	945
6400	ss24a       	Upgrade Garrison        	This upgrade toughens the Garrison and makes available several key ship upgrades.                                                                                                                       	HasStarbase1 NotArena IsCivBelters                                                                                                                                                                                                                              	ResearchedStarbase2                                                                                                                                                                                                                                             	172	120		icontech    	1	0	945
5000	mis02       	LRM Aleph Resonator     	Develops a missile that will destabilize an aleph, causing a huge explosion at both ends.                                                                                                               	HasStarbase2 NotArena                                                                                                                                                                                                                                           	ResearchedAlephBomb                                                                                                                                                                                                                                             	173	120		icontech    	1	391	943
5000	wep90       	EW SkyRipper            	Develops a Devestator mounted energy weapon dealing out incredible damage.                                                                                                                              	HasShipyard1 IsCivCrimsonWing NotArena                                                                                                                                                                                                                          	ResearchedAntiCapGun1                                                                                                                                                                                                                                           	85	120		icontech    	5	176	942
5000	wep91       	EW Stinger 2            	Develops the enhanced short-range, Bomber-mounted anti-base missile.                                                                                                                                    	HasOrdnance1 NotArena IsCivRix                                                                                                                                                                                                                                  	ResearchedStinger2                                                                                                                                                                                                                                              	178	120		icontech    	2	191	942
5000	acs02       	Combat pod 2            	Develops a improved version of the combat pod 1 which can inflict more damage.                                                                                                                          	HasElectronics1 NotArena IsCivRix                                                                                                                                                                                                                               	ResearchedPod2                                                                                                                                                                                                                                                  	182	120		icontech    	3	331	944
5000	acs02       	Combat pod 3            	Develops a improved version of the combat pod 2 which can inflict more damage.                                                                                                                          	HasElectronics2 NotArena IsCivRix ResearchedPod2                                                                                                                                                                                                                	ResearchedPod3                                                                                                                                                                                                                                                  	181	120		icontech    	3	330	944
5000	utl02       	Hv Station Pod 2        	Develops a deployable tower that can be dropped from capital ships and  will damage nearby enemy stations before it self-destructs.                                                                     	HasShipyard2 NotArena IsCivRix                                                                                                                                                                                                                                  	ResearchedHvStationPod2                                                                                                                                                                                                                                         	184	120		icontech    	5	351	944
5000	acs02       	Hv Pod 2                	Develops an improved version of the Hv Pod 1, which can do more damage to enemy ships.                                                                                                                  	HasElectronics2 NotArena IsCivRix ResearchedHvPod1                                                                                                                                                                                                              	ResearchedHvPod2                                                                                                                                                                                                                                                	185	120		icontech    	3	335	944
5000	acs02       	Hv Pod 1                	Develops a deployable tower that briefly fires upon nearby enemies. It is optimized against capital ships.                                                                                              	HasElectronics1 NotArena IsCivRix                                                                                                                                                                                                                               	ResearchedHvPod1                                                                                                                                                                                                                                                	186	120		icontech    	3	336	944
10000	ss08        	Carbon Mine             	Researches an installation that generates income from Carbon Asteroids.                                                                                                                                 	NotArena IsCivCrimsonWing SupremacyAllowed                                                                                                                                                                                                                      	ResearchedCarbonMine                                                                                                                                                                                                                                            	187	120		icontech    	1	99	940
10000	ss08        	Uranium Mine            	Researches an installation that generates income from Uranium Asteroids.                                                                                                                                	NotArena IsCivCrimsonWing ExpansionAllowed                                                                                                                                                                                                                      	ResearchedUraniumMine                                                                                                                                                                                                                                           	188	120		icontech    	1	99	940
10000	ss08        	Silicon Mine            	Researches an installation that generates income from Silicon Asteroids.                                                                                                                                	NotArena IsCivCrimsonWing TacticalAllowed                                                                                                                                                                                                                       	ResearchedSiliconMine                                                                                                                                                                                                                                           	189	120		icontech    	1	99	940
5000	utl02       	Station Pod 2           	Develops a more deadly version of the Station Pod 1.                                                                                                                                                    	HasElectronics2 NotArena IsCivRix                                                                                                                                                                                                                               	ResearchedStationPod2                                                                                                                                                                                                                                           	190	120		icontech    	3	340	944
10000	utl18a      	Assault ship            	This ships major strength is its ability to act as a mobile teleport receiver.                                                                                                                          	HasShipyard1 NotArena IsCivCrimsonWing                                                                                                                                                                                                                          	ResearchedSectorSupport                                                                                                                                                                                                                                         	191	120		icontech    	5	86	941
5000	mis11       	SRM Anti-Base 3         	Develops a version of the SRM Anti-Base 2 that can be fired more quickly.                                                                                                                               	HasOrdnance2 NotArena IsNotCivRix ResearchedMissileBomberAntiBase2                                                                                                                                                                                              	ResearchedMissileBomberAntiBase3                                                                                                                                                                                                                                	192	120		icontech    	2	234	943
5000	utl74       	Teleport probe 2        	Develops an improved version of the Teleport Probe 1 that activates more quickly.                                                                                                                       	HasOrdnance2 NotArena ResearchedTeleportProbe1                                                                                                                                                                                                                  	ResearchedTeleportProbe2                                                                                                                                                                                                                                        	194	120		icontech    	2	720	944
10000	bom07b      	Ballista                	This large, lumbering craft is designed for base assault. It is vulnerable to enemies and requires turret support to be effective.                                                                      	HasStarbase1 NotArena IsCivRix                                                                                                                                                                                                                                  	ResearchedBomber1                                                                                                                                                                                                                                               	193	120		icontech    	1	51	941
10000	bom07b      	Heavy Ballista          	This large, lumbering craft is designed for base assault. It is less vulnerable to enemies but still requires turret support to be effective.                                                           	HasStarbase2 ResearchedBomber1 NotArena IsCivRix                                                                                                                                                                                                                	ResearchedBomber2                                                                                                                                                                                                                                               	195	120		icontech    	1	50	941
5000	wep92       	PW Lancer 2             	Develops the enhanced long-range anti-fighter missile with great tracking ability, optimized for killing fighter-class ships.                                                                           	HasShipyard1 NotArena IsCivRix                                                                                                                                                                                                                                  	ResearchedLancer2                                                                                                                                                                                                                                               	196	120		icontech    	5	178	942
5000	wep92       	PW Lancer 3             	Develops the enhanced long-range anti-fighter missile with great tracking ability, optimized for killing fighter-class ships.                                                                           	HasShipyard1 NotArena IsCivRix ResearchedLancer2                                                                                                                                                                                                                	ResearchedLancer3                                                                                                                                                                                                                                               	197	120		icontech    	5	177	942
